cal_sbid,sbid,field
35105,35212,RACS_1041+18
35105,35213,RACS_1103+18
35105,35214,RACS_1127+09
35105,35215,RACS_1127+04
35105,35216,RACS_1149+14
35105,35217,RACS_1211+18
35105,35218,RACS_1234+23
35105,35219,RACS_1257+23
35105,35220,RACS_1319+23
35105,35221,RACS_1326+32
35105,35222,RACS_1351+32
35105,35223,RACS_1412+28
35105,35224,RACS_1444+46
35105,35225,RACS_1450+37
35105,35226,RACS_1514+23
35105,35227,RACS_1527+14
35105,35228,RACS_1548+28
35105,35229,RACS_1607+09
35105,35230,RACS_1628+04
35105,35231,RACS_1645+23
35105,35232,RACS_1710+32
35105,35233,RACS_1726+18
35105,35234,RACS_1748+28
35105,35235,RACS_1812+28
35105,35236,RACS_1836+28
35105,35237,RACS_1856+18
35105,35238,RACS_1905+14
35105,35239,RACS_1925+23
35105,35240,RACS_1948+23
35105,35241,RACS_2010+14
35105,35242,RACS_2025+09
35105,35243,RACS_2046+09
35244,35245,RACS_2322-32
35244,35246,RACS_2347-32
35244,35247,RACS_0012-28
35244,35248,RACS_0022+23
35244,35249,RACS_0045+23
35244,35250,RACS_0108+23
35244,35253,RACS_0221+14
35244,35254,RACS_0243+14
35244,35255,RACS_0305+14
35244,35256,RACS_0325+23
35244,35259,RACS_0418+18
35244,35260,RACS_0439+04
35244,35261,RACS_0500+04
35244,35262,RACS_0522+09
35244,35263,RACS_0543+04
35244,35264,RACS_0605+04
35244,35265,RACS_0626+09
35244,35266,RACS_0648+00
35244,35267,RACS_0709+00
35244,35268,RACS_0724+28
35244,35269,RACS_0737+23
35244,35270,RACS_0804+32
35244,35271,RACS_0835+04
35244,35272,RACS_0857+04
35244,35273,RACS_0857+00
35244,35274,RACS_0918+04
35244,35275,RACS_0940+04
35244,35276,RACS_1000+14
35244,35277,RACS_1023+09
35244,35278,RACS_1043+14
35244,35279,RACS_1106+09
35244,35280,RACS_1127+00
35244,35281,RACS_1149+09
35244,35282,RACS_1210+14
35283,35284,RACS_1436-28
35283,35285,RACS_1556+18
35283,35286,RACS_1731+23
35283,35287,RACS_1902+23
35283,35288,RACS_2025+04
35283,35290,RACS_2133+18
35283,35291,RACS_2151+09
35283,35292,RACS_2205+23
35283,35293,RACS_2228+23
35283,35294,RACS_2251+23
35283,35295,RACS_2305+14
35283,35296,RACS_2326+18
35283,35297,RACS_2347+32
35283,35298,RACS_0012+28
35283,35299,RACS_0033+18
35283,35300,RACS_0056+18
35283,35301,RACS_0104+09
35283,35302,RACS_0124+28
