INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV,FSCALE,FMETHOD
49,49,RACS_0213-70,72572,0,72565,OBSERVED,02 13 40.491,-70 18 22.76,33.4187125,-70.3063222222222,293.255495201649,-45.2453860485037,-80.024,5250463854.354815,905.748479394226,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
50,50,RACS_1227-69,68164,0,68173,OBSERVED,12 27 41.538,-69 28 28.82,186.923075,-69.4746722222222,300.839467624326,-6.69945435678449,-45.0,5238605842.698623,895.7951998989868,895.7952000000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
51,51,RACS_1323-69,68300,0,68280,OBSERVED,13 23 04.615,-69 28 28.82,200.769229166667,-69.4746722222222,305.716984860609,-6.77419092945513,-45.0,5238866188.210558,915.7017598431396,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
52,52,RACS_1418-69,69385,0,69391,OBSERVED,14 18 27.692,-69 28 28.82,214.615383333333,-69.4746722222222,310.470861322768,-7.88670336128606,-45.0,5241022885.048702,915.7017598431396,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
53,53,RACS_1513-69,-1,-1,-1,--NULL--,15 13 50.769,-69 28 28.82,228.4615375,-69.4746722222222,314.893257653953,-9.98067938723771,-45.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
54,54,RACS_1609-69,68677,0,68653,OBSERVED,16 09 13.846,-69 28 28.82,242.307691666667,-69.4746722222222,318.796549650611,-12.9536534126784,-45.0,5239655536.619903,905.748479394226,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
55,55,RACS_1704-69,71693,0,71695,OBSERVED,17 04 36.923,-69 28 28.82,256.153845833333,-69.4746722222222,322.01597606726,-16.6664635843854,-45.0,5248364193.12883,905.7484803479003,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
56,56,RACS_1759-69,69440,0,69447,OBSERVED,18 00 00,-69 28 28.82,270.0,-69.4746722222222,324.402868124287,-20.9520743044027,-45.0,5241129588.191614,905.748479394226,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
57,57,RACS_1855-69,69182,0,69170,OBSERVED,18 55 23.076,-69 28 28.82,283.84615,-69.4746722222222,325.81159775585,-25.6206119258171,-45.0,5240701289.374078,895.7951998989868,895.7952000000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
58,58,RACS_1950-69,68916,0,68942,OBSERVED,19 50 46.153,-69 28 28.82,297.692304166667,-69.4746722222222,326.085842441008,-30.4589638616925,-45.0,5240101847.888254,905.7484803479003,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
59,59,RACS_2046-69,68958,0,68942,OBSERVED,20 46 09.23,-69 28 28.82,311.538458333333,-69.4746722222222,325.052598533066,-35.2250484346133,-45.0,5240187799.658878,905.7484803479003,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
60,60,RACS_2141-69,-1,-1,-1,--NULL--,21 41 32.307,-69 28 28.82,325.3846125,-69.4746722222222,322.538149472453,-39.6394817996552,-45.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
61,61,RACS_2236-69,71882,0,71914,OBSERVED,22 36 55.384,-69 28 28.82,339.230766666667,-69.4746722222222,318.427974451973,-43.3822421406889,-45.0,5248808004.022655,895.7951998989868,895.7952000000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
62,62,RACS_2332-69,73177,0,73178,OBSERVED,23 32 18.461,-69 28 28.82,353.076920833333,-69.4746722222222,312.787763242773,-46.1097972708211,-45.0,5252258798.346622,915.7017598431396,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
63,63,RACS_0027-69,-1,-1,-1,--NULL--,00 27 41.538,-69 28 28.82,6.923075,-69.4746722222222,306.009471713999,-47.5114362258691,-45.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
64,64,RACS_0123-69,-1,-1,-1,--NULL--,01 23 04.615,-69 28 28.82,20.7692291666667,-69.4746722222222,298.844083683508,-47.4016667138933,-45.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
65,65,RACS_0218-69,72573,0,72565,OBSERVED,02 18 27.692,-69 28 28.82,34.6153833333333,-69.4746722222222,292.189374260101,-45.795740266232,-45.0,5250464900.997502,905.748479394226,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
66,66,RACS_0313-69,72445,0,72459,OBSERVED,03 13 50.769,-69 28 28.82,48.4615375,-69.4746722222222,286.752162679502,-42.9028546950207,-45.0,5250209240.826239,905.7484803479003,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
67,67,RACS_0409-69,-1,-1,-1,--NULL--,04 09 13.846,-69 28 28.82,62.3076916666667,-69.4746722222222,282.871250905445,-39.0435297517481,-45.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
68,68,RACS_0504-69,71094,0,71072,OBSERVED,05 04 36.923,-69 28 28.82,76.1538458333333,-69.4746722222222,280.577295124731,-34.5603243761908,-45.0,5246683251.794302,915.7017598431396,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
